SRA_RUN	GROUP	QUAL	GENE
SRR24205964	HA_2_30	225.417	mreC
SRR24205965	HA_2_30	225.417	mreC
SRR24205966	HA_2_30	225.417	mreC
SRR24205967	HA_2_30	225.417	mreC
SRR24205968	HA_2_30	225.417	mreC
SRR24205973	HA_1_70	225.417	mreC
SRR24205984	HA_1_70	225.417	mreC
SRR24205995	HA_1_70	225.417	mreC
SRR24206006	HA_1_70	225.417	mreC
SRR24206017	HA_1_70	225.417	mreC
SRR24206028	HA_1_70	225.417	mreC
SRR24206039	HA_1_70	212.417	mreC
SRR24206050	HA_1_70	225.417	mreC
SRR24206052	HA_2_70	225.417	mreC
SRR24206053	HA_2_70	225.417	mreC
SRR24206054	HA_2_70	225.417	mreC
SRR24206055	HA_2_70	146.416	mreC
SRR24206056	HA_2_70	223.417	mreC
SRR24206057	HA_2_70	161.416	mreC
SRR24206058	HA_2_70	225.417	mreC
SRR24206059	HA_2_70	166.416	mreC
SRR24206062	HA_2_30	225.417	mreC
SRR24206063	HA_2_70	104.415	mreC
SRR24206064	HA_1_70	141.416	mreC
SRR24206065	HA_1_70	99.4152	mreC
SRR24205992	C_3_70	225.417	lidA
SRR24205993	C_3_70	181.416	lidA
SRR24205994	C_3_70	212.417	lidA
SRR24205996	C_3_70	225.417	lidA
SRR24205997	C_3_70	225.417	lidA
SRR24206001	C_2_70	225.417	lidA
SRR24206019	HA_5_70	225.417	A9F03_RS04960
SRR24206020	HA_5_70	225.417	A9F03_RS04960
SRR24206021	HA_5_70	225.417	A9F03_RS04960
SRR24206022	HA_5_70	225.417	A9F03_RS04960
SRR24206023	HA_5_70	225.417	A9F03_RS04960
SRR24206024	HA_5_70	225.417	A9F03_RS04960
SRR24206025	HA_5_70	225.417	A9F03_RS04960
SRR24206026	HA_5_70	225.417	A9F03_RS04960
SRR24206027	HA_5_70	99.4152	A9F03_RS04960
SRR24206029	HA_5_70	225.417	A9F03_RS04960
SRR24206041	HA_3_70	141.416	htpG
SRR24206042	HA_3_70	225.417	htpG
SRR24206043	HA_3_70	179.416	htpG
SRR24206044	HA_3_70	215.417	htpG
SRR24206045	HA_3_70	153.416	htpG
SRR24206046	HA_3_70	99.4152	htpG
SRR24206047	HA_3_70	213.417	htpG
SRR24206048	HA_3_70	194.416	htpG
SRR24206049	HA_3_70	225.417	htpG
SRR24206051	HA_3_70	225.417	htpG
SRR24206019	HA_5_70	225.417	htpG
SRR24206020	HA_5_70	210.417	htpG
SRR24206021	HA_5_70	65.4148	htpG
SRR24206022	HA_5_70	225.417	htpG
SRR24206023	HA_5_70	225.417	htpG
SRR24206024	HA_5_70	102.415	htpG
SRR24206025	HA_5_70	225.417	htpG
SRR24206026	HA_5_70	225.417	htpG
SRR24206027	HA_5_70	225.417	htpG
SRR24206029	HA_5_70	225.417	htpG
SRR24206041	HA_3_70	225.417	rodA
SRR24206042	HA_3_70	225.417	rodA
SRR24206043	HA_3_70	225.417	rodA
SRR24206044	HA_3_70	225.417	rodA
SRR24206045	HA_3_70	225.417	rodA
SRR24206046	HA_3_70	145.416	rodA
SRR24206047	HA_3_70	124.416	rodA
SRR24206048	HA_3_70	225.417	rodA
SRR24206049	HA_3_70	225.417	rodA
SRR24206051	HA_3_70	225.417	rodA
SRR24205982	C_5_70	165.98	rodA
SRR24205985	C_5_70	225.417	rodA
SRR24205986	C_5_70	225.417	rodA
SRR24205992	C_3_70	225.417	rodA
SRR24205993	C_3_70	225.417	rodA
SRR24205994	C_3_70	68.4148	rodA
SRR24205996	C_3_70	225.417	rodA
SRR24206052	HA_2_70	225.417	rodA
SRR24206053	HA_2_70	225.417	rodA
SRR24206054	HA_2_70	225.417	rodA
SRR24206055	HA_2_70	225.417	rodA
SRR24206056	HA_2_70	156.416	rodA
SRR24206057	HA_2_70	225.417	rodA
SRR24206058	HA_2_70	225.417	rodA
SRR24206059	HA_2_70	225.417	rodA
SRR24206063	HA_2_70	107.415	rodA
SRR24205976	C_6_70	146.416	A9F03_RS07365
SRR24205977	C_6_70	193.416	A9F03_RS07365
SRR24205978	C_6_70	150.416	A9F03_RS07365
SRR24205979	C_6_70	121.415	A9F03_RS07365
SRR24205980	C_6_70	143.416	A9F03_RS07365
SRR24206001	C_2_70	225.417	A9F03_RS07365
SRR24205998	C_2_70	225.417	A9F03_RS07365
SRR24206000	C_2_70	225.417	A9F03_RS07365
SRR24206002	C_2_70	225.421	A9F03_RS07365
SRR24206019	HA_5_70	225.417	rlmD
SRR24206020	HA_5_70	218.417	rlmD
SRR24206021	HA_5_70	183.416	rlmD
SRR24206022	HA_5_70	126.416	rlmD
SRR24206023	HA_5_70	225.417	rlmD
SRR24206024	HA_5_70	193.416	rlmD
SRR24206025	HA_5_70	225.417	rlmD
SRR24206026	HA_5_70	209.417	rlmD
SRR24206027	HA_5_70	122.415	rlmD
SRR24206029	HA_5_70	203.417	rlmD
SRR24206019	HA_5_70	225.417	A9F03_RS07570
SRR24206020	HA_5_70	196.416	A9F03_RS07570
SRR24206021	HA_5_70	225.417	A9F03_RS07570
SRR24206022	HA_5_70	220.417	A9F03_RS07570
SRR24206023	HA_5_70	196.416	A9F03_RS07570
SRR24206024	HA_5_70	118.415	A9F03_RS07570
SRR24206025	HA_5_70	225.417	A9F03_RS07570
SRR24206026	HA_5_70	225.417	A9F03_RS07570
SRR24206027	HA_5_70	60.4147	A9F03_RS07570
SRR24206029	HA_5_70	225.417	A9F03_RS07570
SRR24206041	HA_3_70	138.416	clpB
SRR24206042	HA_3_70	225.417	clpB
SRR24206043	HA_3_70	225.417	clpB
SRR24206044	HA_3_70	225.417	clpB
SRR24206045	HA_3_70	225.417	clpB
SRR24206046	HA_3_70	225.417	clpB
SRR24206047	HA_3_70	212.417	clpB
SRR24206048	HA_3_70	225.417	clpB
SRR24206049	HA_3_70	154.416	clpB
SRR24206051	HA_3_70	225.417	clpB
SRR24206019	HA_5_70	225.417	clpB
SRR24206021	HA_5_70	225.417	clpB
SRR24206022	HA_5_70	225.417	clpB
SRR24206023	HA_5_70	225.417	clpB
SRR24206024	HA_5_70	225.417	clpB
SRR24206025	HA_5_70	225.417	clpB
SRR24206026	HA_5_70	225.417	clpB
SRR24206027	HA_5_70	225.417	clpB
SRR24206029	HA_5_70	225.417	clpB
SRR24206052	HA_2_70	225.417	clpX
SRR24206053	HA_2_70	225.417	clpX
SRR24206054	HA_2_70	225.417	clpX
SRR24206055	HA_2_70	225.417	clpX
SRR24206056	HA_2_70	225.417	clpX
SRR24206057	HA_2_70	211.421	clpX
SRR24206058	HA_2_70	225.417	clpX
SRR24206059	HA_2_70	225.417	clpX
SRR24206063	HA_2_70	225.417	clpX
SRR24205973	HA_1_70	225.417	clpX
SRR24205984	HA_1_70	225.417	clpX
SRR24205995	HA_1_70	225.417	clpX
SRR24206006	HA_1_70	225.417	clpX
SRR24206017	HA_1_70	225.417	clpX
SRR24206028	HA_1_70	225.417	clpX
SRR24206039	HA_1_70	196.416	clpX
SRR24206050	HA_1_70	225.417	clpX
SRR24206064	HA_1_70	225.417	clpX
SRR24206065	HA_1_70	225.417	clpX
SRR24206019	HA_5_70	138.416	dnaJ
SRR24206020	HA_5_70	225.417	dnaJ
SRR24206021	HA_5_70	121.415	dnaJ
SRR24206022	HA_5_70	193.416	dnaJ
SRR24206023	HA_5_70	225.417	dnaJ
SRR24206024	HA_5_70	137.416	dnaJ
SRR24206025	HA_5_70	225.417	dnaJ
SRR24206026	HA_5_70	201.416	dnaJ
SRR24206027	HA_5_70	186.416	dnaJ
SRR24206029	HA_5_70	217.417	dnaJ
SRR24206041	HA_3_70	225.417	dnaJ
SRR24206042	HA_3_70	225.417	dnaJ
SRR24206043	HA_3_70	151.416	dnaJ
SRR24206044	HA_3_70	225.417	dnaJ
SRR24206045	HA_3_70	225.417	dnaJ
SRR24206046	HA_3_70	165.416	dnaJ
SRR24206047	HA_3_70	225.417	dnaJ
SRR24206048	HA_3_70	121.415	dnaJ
SRR24206049	HA_3_70	177.416	dnaJ
SRR24206051	HA_3_70	225.417	dnaJ
SRR24206009	HA_6_70	225.417	dnaJ
SRR24206010	HA_6_70	225.417	dnaJ
SRR24206011	HA_6_70	215.238	dnaJ
SRR24206012	HA_6_70	225.417	dnaJ
SRR24206013	HA_6_70	164.416	dnaJ
SRR24206014	HA_6_70	225.417	dnaJ
SRR24206015	HA_6_70	225.417	dnaJ
SRR24206016	HA_6_70	225.417	dnaJ
SRR24206018	HA_6_70	60.4147	dnaJ
SRR24205963	HA_2_30	225.417	dnaJ
SRR24205964	HA_2_30	225.417	dnaJ
SRR24205965	HA_2_30	225.422	dnaJ
SRR24205967	HA_2_30	225.417	dnaJ
SRR24205968	HA_2_30	228.276	dnaJ
SRR24205973	HA_1_70	124.416	dnaJ
SRR24205984	HA_1_70	225.417	dnaJ
SRR24205995	HA_1_70	210.417	dnaJ
SRR24206006	HA_1_70	65.4148	dnaJ
SRR24206017	HA_1_70	195.416	dnaJ
SRR24206028	HA_1_70	225.417	dnaJ
SRR24206039	HA_1_70	225.417	dnaJ
SRR24206050	HA_1_70	225.417	dnaJ
SRR24206052	HA_2_70	186.416	dnaJ
SRR24206053	HA_2_70	225.417	dnaJ
SRR24206054	HA_2_70	225.417	dnaJ
SRR24206055	HA_2_70	225.417	dnaJ
SRR24206056	HA_2_70	225.417	dnaJ
SRR24206057	HA_2_70	225.417	dnaJ
SRR24206058	HA_2_70	94.4151	dnaJ
SRR24206059	HA_2_70	225.417	dnaJ
SRR24206062	HA_2_30	153.181	dnaJ
SRR24206063	HA_2_70	99.4152	dnaJ
SRR24206064	HA_1_70	225.417	dnaJ
SRR24206065	HA_1_70	225.417	dnaJ
SRR24206052	HA_2_70	225.417	dnaK
SRR24206053	HA_2_70	140.416	dnaK
SRR24206054	HA_2_70	225.417	dnaK
SRR24206055	HA_2_70	225.417	dnaK
SRR24206056	HA_2_70	203.417	dnaK
SRR24206057	HA_2_70	77.4149	dnaK
SRR24206058	HA_2_70	225.417	dnaK
SRR24206059	HA_2_70	225.417	dnaK
SRR24206063	HA_2_70	119.415	dnaK
SRR24205963	HA_2_30	225.417	dnaK
SRR24205964	HA_2_30	225.417	dnaK
SRR24205965	HA_2_30	225.417	dnaK
SRR24205966	HA_2_30	225.417	dnaK
SRR24205967	HA_2_30	225.417	dnaK
SRR24205968	HA_2_30	225.422	dnaK
SRR24205973	HA_1_70	188.416	dnaK
SRR24205984	HA_1_70	225.417	dnaK
SRR24205995	HA_1_70	177.416	dnaK
SRR24206006	HA_1_70	225.417	dnaK
SRR24206009	HA_6_70	174.416	dnaK
SRR24206010	HA_6_70	215.417	dnaK
SRR24206011	HA_6_70	225.417	dnaK
SRR24206012	HA_6_70	225.417	dnaK
SRR24206013	HA_6_70	225.417	dnaK
SRR24206014	HA_6_70	225.417	dnaK
SRR24206015	HA_6_70	225.417	dnaK
SRR24206016	HA_6_70	225.417	dnaK
SRR24206017	HA_1_70	218.417	dnaK
SRR24206018	HA_6_70	217.417	dnaK
SRR24206028	HA_1_70	225.417	dnaK
SRR24206039	HA_1_70	170.416	dnaK
SRR24206050	HA_1_70	225.417	dnaK
SRR24206052	HA_2_70	225.417	dnaK
SRR24206053	HA_2_70	225.417	dnaK
SRR24206054	HA_2_70	225.417	dnaK
SRR24206055	HA_2_70	225.417	dnaK
SRR24206056	HA_2_70	225.417	dnaK
SRR24206057	HA_2_70	225.417	dnaK
SRR24206058	HA_2_70	225.417	dnaK
SRR24206059	HA_2_70	216.417	dnaK
SRR24206062	HA_2_30	228.398	dnaK
SRR24206063	HA_2_70	187.416	dnaK
SRR24206064	HA_1_70	225.417	dnaK
SRR24206065	HA_1_70	225.417	dnaK
SRR24205976	C_6_70	225.417	A9F03_RS11395
SRR24205977	C_6_70	225.417	A9F03_RS11395
SRR24205978	C_6_70	196.416	A9F03_RS11395
SRR24205979	C_6_70	225.417	A9F03_RS11395
SRR24205980	C_6_70	152.416	A9F03_RS11395
SRR24206009	HA_6_70	129.383	mavF
SRR24206010	HA_6_70	225.417	mavF
SRR24206011	HA_6_70	225.417	mavF
SRR24206012	HA_6_70	204.417	mavF
SRR24206013	HA_6_70	225.417	mavF
SRR24206014	HA_6_70	184.416	mavF
SRR24206015	HA_6_70	161.416	mavF
SRR24206016	HA_6_70	167.416	mavF
SRR24206018	HA_6_70	225.417	mavF
SRR24205999	C_2_70	225.417	uvrY
SRR24206001	C_2_70	225.417	uvrY
SRR24205997	C_3_70	225.417	uvrY
SRR24205963	HA_2_30	225.417	uvrY
SRR24205964	HA_2_30	225.417	uvrY
SRR24205965	HA_2_30	225.417	uvrY
SRR24205966	HA_2_30	225.417	uvrY
SRR24205967	HA_2_30	225.417	uvrY
SRR24205968	HA_2_30	225.417	uvrY
SRR24205969	P1	225.417	uvrY
SRR24205970	P1	225.417	uvrY
SRR24205971	P1	225.417	uvrY
SRR24205972	P1	225.417	uvrY
SRR24205973	HA_1_70	98.4152	uvrY
SRR24205974	P1	225.417	uvrY
SRR24205975	P1	171.416	uvrY
SRR24205976	C_6_70	225.417	uvrY
SRR24205977	C_6_70	225.417	uvrY
SRR24205978	C_6_70	225.417	uvrY
SRR24205979	C_6_70	225.417	uvrY
SRR24205980	C_6_70	225.417	uvrY
SRR24205981	C_5_70	225.417	uvrY
SRR24205982	C_5_70	225.417	uvrY
SRR24205983	C_5_70	225.417	uvrY
SRR24205984	HA_1_70	225.417	uvrY
SRR24205985	C_5_70	225.417	uvrY
SRR24205986	C_5_70	225.417	uvrY
SRR24205987	C_4_70	225.417	uvrY
SRR24205988	C_4_70	225.417	uvrY
SRR24205989	C_4_70	225.417	uvrY
SRR24205990	C_4_70	200.416	uvrY
SRR24205991	C_4_70	87.415	uvrY
SRR24205992	C_3_70	225.417	uvrY
SRR24205993	C_3_70	173.416	uvrY
SRR24205994	C_3_70	121.415	uvrY
SRR24205995	HA_1_70	225.417	uvrY
SRR24205996	C_3_70	61.4147	uvrY
SRR24205997	C_3_70	225.417	uvrY
SRR24205998	C_2_70	95.4151	uvrY
SRR24205999	C_2_70	207.417	uvrY
SRR24206000	C_2_70	225.417	uvrY
SRR24206001	C_2_70	101.415	uvrY
SRR24206002	C_2_70	225.417	uvrY
SRR24206003	C_1_70	225.417	uvrY
SRR24206004	C_1_70	225.417	uvrY
SRR24206005	C_1_70	225.417	uvrY
SRR24206006	HA_1_70	225.417	uvrY
SRR24206007	C_1_70	225.417	uvrY
SRR24206008	C_1_70	225.417	uvrY
SRR24206009	HA_6_70	225.417	uvrY
SRR24206010	HA_6_70	225.417	uvrY
SRR24206011	HA_6_70	225.417	uvrY
SRR24206012	HA_6_70	225.417	uvrY
SRR24206013	HA_6_70	225.417	uvrY
SRR24206014	HA_6_70	225.417	uvrY
SRR24206015	HA_6_70	196.416	uvrY
SRR24206016	HA_6_70	225.417	uvrY
SRR24206017	HA_1_70	225.417	uvrY
SRR24206018	HA_6_70	225.417	uvrY
SRR24206019	HA_5_70	225.417	uvrY
SRR24206020	HA_5_70	225.417	uvrY
SRR24206021	HA_5_70	225.417	uvrY
SRR24206022	HA_5_70	225.417	uvrY
SRR24206023	HA_5_70	225.417	uvrY
SRR24206024	HA_5_70	225.417	uvrY
SRR24206025	HA_5_70	225.417	uvrY
SRR24206026	HA_5_70	225.417	uvrY
SRR24206027	HA_5_70	225.417	uvrY
SRR24206028	HA_1_70	225.417	uvrY
SRR24206029	HA_5_70	176.416	uvrY
SRR24206039	HA_1_70	228.387	uvrY
SRR24206041	HA_3_70	225.417	uvrY
SRR24206042	HA_3_70	225.417	uvrY
SRR24206043	HA_3_70	156.416	uvrY
SRR24206044	HA_3_70	197.416	uvrY
SRR24206045	HA_3_70	225.417	uvrY
SRR24206046	HA_3_70	225.417	uvrY
SRR24206047	HA_3_70	225.417	uvrY
SRR24206048	HA_3_70	225.417	uvrY
SRR24206049	HA_3_70	225.417	uvrY
SRR24206050	HA_1_70	220.421	uvrY
SRR24206051	HA_3_70	225.417	uvrY
SRR24206052	HA_2_70	225.417	uvrY
SRR24206053	HA_2_70	225.421	uvrY
SRR24206054	HA_2_70	225.417	uvrY
SRR24206055	HA_2_70	225.417	uvrY
SRR24206056	HA_2_70	225.417	uvrY
SRR24206057	HA_2_70	218.417	uvrY
SRR24206058	HA_2_70	225.417	uvrY
SRR24206059	HA_2_70	225.417	uvrY
SRR24206062	HA_2_30	225.417	uvrY
SRR24206063	HA_2_70	154.416	uvrY
SRR24206064	HA_1_70	225.417	uvrY
SRR24206065	HA_1_70	225.417	uvrY
SRR24206009	HA_6_70	225.417	nuoG
SRR24206010	HA_6_70	211.417	nuoG
SRR24206011	HA_6_70	225.417	nuoG
SRR24206012	HA_6_70	225.417	nuoG
SRR24206013	HA_6_70	225.417	nuoG
SRR24206014	HA_6_70	225.417	nuoG
SRR24206015	HA_6_70	225.417	nuoG
SRR24206016	HA_6_70	225.417	nuoG
SRR24206018	HA_6_70	225.417	nuoG
SRR24206019	HA_5_70	225.417	nuoG
SRR24206020	HA_5_70	215.417	nuoG
SRR24206021	HA_5_70	225.417	nuoG
SRR24206022	HA_5_70	225.417	nuoG
SRR24206023	HA_5_70	225.417	nuoG
SRR24206024	HA_5_70	225.417	nuoG
SRR24206025	HA_5_70	225.417	nuoG
SRR24206026	HA_5_70	225.417	nuoG
SRR24206027	HA_5_70	225.417	nuoG
SRR24206029	HA_5_70	225.417	nuoG
SRR24205992	C_3_70	225.417	A9F03_RS15130
SRR24205993	C_3_70	225.417	A9F03_RS15130
SRR24205994	C_3_70	155.416	A9F03_RS15130
SRR24205996	C_3_70	219.417	A9F03_RS15130
SRR24205997	C_3_70	198.416	A9F03_RS15130
SRR24206019	HA_5_70	167.416	A9F03_RS15130
SRR24206020	HA_5_70	101.415	A9F03_RS15130
SRR24206021	HA_5_70	225.417	A9F03_RS15130
SRR24206022	HA_5_70	225.417	A9F03_RS15130
SRR24206023	HA_5_70	225.417	A9F03_RS15130
SRR24206024	HA_5_70	131.416	A9F03_RS15130
SRR24206025	HA_5_70	225.417	A9F03_RS15130
SRR24206026	HA_5_70	225.417	A9F03_RS15130
SRR24206027	HA_5_70	225.417	A9F03_RS15130
SRR24206029	HA_5_70	225.417	A9F03_RS15130
SRR24206041	HA_3_70	206.417	A9F03_RS15130
SRR24206042	HA_3_70	197.416	A9F03_RS15130
SRR24206043	HA_3_70	157.416	A9F03_RS15130
SRR24206044	HA_3_70	225.417	A9F03_RS15130
SRR24206045	HA_3_70	225.417	A9F03_RS15130
SRR24206046	HA_3_70	212.417	A9F03_RS15130
SRR24206047	HA_3_70	146.416	A9F03_RS15130
SRR24206048	HA_3_70	189.416	A9F03_RS15130
SRR24206049	HA_3_70	225.417	A9F03_RS15130
SRR24206051	HA_3_70	225.417	A9F03_RS15130
SRR24206052	HA_2_70	225.417	A9F03_RS15130
SRR24206053	HA_2_70	181.416	A9F03_RS15130
SRR24206054	HA_2_70	225.417	A9F03_RS15130
SRR24206055	HA_2_70	225.417	A9F03_RS15130
SRR24206056	HA_2_70	225.417	A9F03_RS15130
SRR24206057	HA_2_70	194.416	A9F03_RS15130
SRR24206058	HA_2_70	202.417	A9F03_RS15130
SRR24206059	HA_2_70	225.417	A9F03_RS15130
SRR24206063	HA_2_70	90.4151	A9F03_RS15130
